Binding Name,Definition,Binding,Binding Strength,Reference,Description
Accreditation,Accreditations an organization may be granted,unbound,,,
AddressPartType,Type of address part,code list,required,#address-part-type,
AddressUse,The use of an address,code list,required,#address-use,
AdministrationInstruction,Instructions for administering medication,value set,preferred,,NHG Table 25b
AdministrationPrecondition,Precondition for administering medication,value set,preferred,,NHG Table 25b
AdministrationRoute,Route by which a medication is administered,value set,preferred,,G-Standaard subtable 0007
AdministrativeGender,"The gender of a person used for administrative purposes		",unbound,,,
AgentRole,The role a person plays representing an organization,unbound,,,
AnimalGender,The gender of an animal,unbound,,,
AnimalRelationship,"The relationship of an animal to another entity (person, corporation, or other animal)",unbound,,,
AnimalSpecies,The species of an animal,unbound,,,
AnimalStrain,The strain of an animal,unbound,,,
BooleanYesNo,"Either yes or no, true or false",code list,required,#boolean-yes-no,
ConceptBindingType,The type of a binding for a concept domain,code list,required,#concept-binding-type,
ConformanceEventMode,The mode of a message conformance statement,code list,required,#message-conformance-event-mode,
ConformanceType,The conformance value for an element,code list,required,#conformance-type,
ContactSystem,What kind of contact this is,code list,required,#contact-system,
ContactUse,How to use this address,code list,required,#contact-use,
DataAbsentReason,Used to specify why the normally expected content of the data element is missing,code list,required,#data-absent-reason,
DataType,The type of an element - one of the FHIR data types,special,required,#DataType,
DocumentAuthenticationMode,The way in which a person authenticated a document,code list,required,#document-authentication-mode,
DocumentSectionType,Type of a clinical document section,value set,preferred,,LOINC Section Types
DocumentType,Type of a clinical document,value set,preferred,,LOINC Document Types
EventReason,The reason for an event occurring,unbound,,,
EventTiming,A real world event that a schedule is related to,code list,required,#event-timing,
ExtensionContextType,How the path of an extension should be understood,code list,required,#extension-context-type,
ExtensionState,The state of an extension,code list,required,#extension-state,
IdentifierType,The type of human identifier,code list,preferred,#identifier-type,
Industry,Code for the type of industry,value set,preferred,,HL7 v3 OrganizationIndustryClass value set
LabDiagnosisCodes,Codes for laboratory diagnoses,value set,suggested,,SNOMED-CT Diagnoses
LabReferenceRanges,Code for the meaning of a reference range,unbound,,,
LabReportNames,codes for report names,value set,preferred,,LOINC Panel Names
LabReportStatus,The status of a report or result item,code list,required,#lab-report-status,
LabRequests,codes for requestable tests,unbound,,,
LabResultFlag,codes for result flags,code list,required,#lab-result-flag,
LabResultGroupNames,codes for result groups,value set,preferred,,LOINC Panel Names
LabResultNames,codes for results,value set,preferred,,LOINC Result names
LabServices,codes for laboratory services,value set,preferred,,HL7 v2 table 0074
Language,A human language,reference,required,http://www.sil.org/iso639-3/codes.asp,ISO 639-3
LanguageUse,How well a person speaks a language,code list,required,#language-use,
MediaType,The mime type of an attachment,reference,required,http://www.rfc-editor.org/bcp/bcp13.txt,"BCP 13 (RFCs 2045, 2046, 2047, 4288, 4289 and 2049)"
MedicationKind,"The kind of medication, vaccine or therapeutic material",value set,preferred,,"G-Standaard (Netherlands), AMT (Australie)"
MessageEvent,One of the message types defined in FHIR messaging,special,required,#MessageEvent,
NamePartType,Type of a part of a human name,code list,required,#name-part-type,
NameUse,The use of a human name,code list,required,#name-use,
NarrativeMapSource,Which is the source in a Narrative <-> Data mapping,code list,required,#narrative-map-source,
NarrativeStatus,The status of a resource narrative,code list,required,#narrative-status,
OrganisationType,The type of an organisation,value set,suggested,,SNOMED-CT Organisation codes and the HL7 v3 Entity Code table
OrganizationRelationship,"The relationship an organization has to the subject, including sub and super organizations, and other kind of relationships such as partner organisations",unbound,,,
PaperRecordLocation,A physical location for a record. (Usually site specific),unbound,,,
PatientConfidentiality,The confidentiality of the records associated with this patient,unbound,,,
PatientDiet,casual dietary restrictions associated with this patient,unbound,,,
PersonRelationship,"The relationship a person has to the subject, including familial, marital, financial, legal, and casual relationships		",unbound,,,
PrescriptionReason,Medical reason for prescribing a medicine,value set,preferred,,ICD-10 or ICPC-1
PrescriptionStatus,The status of a prescription,code list,required,#prescription-status,
Qualifications,"Formal qualifications, accreditations, and Certifications acquired by a person		",unbound,,,
QuantityStatus,how the Quantity should be understood and represented,code list,required,#quantity-status,
Race,The race of the person,value set,preferred,,HL7 v2 table 0200
Religion,"The denomination to which a person professes affiliation		",unbound,,,
ResourceIdSource,The system responsible for the provision of a resource unique id,code list,required,#resource-id-source,
ResourceProfileStatus,The lifecycle status of a Resource Profile,code list,required,#resource-profile-status,
ResourceType,One of the resource types defined in FHIR messaging,special,required,#ResourceType,
ResponseCode,The kind of response to a message,code list,required,#response-code,
RestfulConformanceMode,The mode of a restful conformance statement,code list,required,#restful-conformance-mode,
