Code,Definition,Comment
account,Account number ,An identifier that is unique to an account.
credit,Credit Card Number ,A credit card number (or debit card).
microchip ,Microchip Number ,"implanted, for animals, or a worn RFID for humans"
registry,A Registry Number ,
insurance ,Insurance Scheme Member Number ,Identifies the person as a member of an insurance scheme.
national ,National Healthcare Identifier,May not only be used for healthcare.
ssn ,National Social Security Number,
state ,State Healthcare Identifier,May not only be used for healthcare.
patient ,Patient identifier ,"Frequently called ""MRN"" (medical record number) or ""UR"" (unit record number)."
facility ,Facility ID ,
provider ,Provider number ,a number allocated to a person as a provider of healthcare resources. 
